1.3902,1.1592,1.0715,1.8869,4.693,3.9954,4.1404,5.84,2.83,4.95,5.87,2.25,3.66,2.14,1.84,5.41,6.73,2.82,9.8,20.23,8.15,19.95,16.87,3.8,14.62,16.6,6.2,18.47,0.029238,0.0027645,0.1525,0.36279,-0.24496
1.7022,1.2766,1.0056,2.5032,5.1465,4.5277,4.614,4.84,2.2,5.17,4.67,2.13,2.9,1.99,1.57,4.69,7.78,2.3,10.38,20.9,3.09,21.12,18.76,3.51,10.21,17.11,3.54,11.9,0.078647,0.0020165,0.15511,0.19888,-0.15816
1.0816,0.99297,0.66272,1.7673,3.4202,3.3604,3.2288,2.97,1.87,2.74,2.54,1.8,2.9,2.18,0.94,2.05,5.01,2.99,7.6,11.5,4.24,14.88,12.02,2.12,14.1,10.48,3.98,10.5,-0.03979,0.0011998,0.48926,0.060148,-0.15616
1.011,0.92131,0.76653,1.7044,4.0102,3.7855,3.8149,2.59,1.02,2.34,2.64,1.79,2.2,1.7,0.76,3.63,4.37,1.69,7.94,14.04,3.89,17.46,15.02,2.53,12.49,13.73,2.93,10.61,0.0084591,0.0087393,0.76151,0.043882,-0.16083
1.0128,0.94384,0.54604,1.5476,3.76,3.3498,2.886,2.91,1.12,3.14,3.23,2.41,3.94,1.74,0.58,1.47,3.64,1.61,8.37,21.57,3.64,11.38,19.28,3.93,10.95,17.27,4.28,10.76,-0.031416,-0.0038817,0.74568,0.064721,-0.15768
1.0802,1.0405,0.6299,1.7762,3.8078,3.6517,3.4742,2.64,1.61,2.91,3.59,2.76,4.86,1.16,1.15,3.58,6.08,2.41,8.71,14.87,4.24,16.53,14.45,2.86,13.86,12.22,4.07,12.21,-0.082215,-0.010412,0.58274,0.06192,-0.17861
1.1115,1.0329,0.65388,1.8284,3.0722,2.8835,2.7268,2.67,1.72,2.53,3.39,1.62,2.89,1.66,0.95,3.53,5.56,1.94,8.64,15.25,3.72,16.63,15.61,2.31,11.99,14.92,2.95,10.6,0.0065498,0.003587,0.68378,0.044562,-0.15378
1.1434,1.1167,0.64147,1.8777,3.4803,3.5015,3.4931,3.12,1.47,3.08,3.77,1.79,2.86,2.52,1.07,2.21,4.72,1.66,7.65,12.81,3.79,17.08,14.39,1.93,15.8,12.39,3.52,10.83,-0.077524,0.0043208,0.58748,0.053148,-0.15744
1.3825,1.3708,0.67174,2.3237,4.6537,4.5303,4.4081,4.41,1.95,4.03,4.18,2.86,4.19,3.63,0.97,2.16,5.16,2.41,11,16.58,3.48,17.14,17.38,1.96,15.36,14.45,3.75,13.5,-0.093779,-0.014648,0.81916,0.05587,-0.20255
1.3789,1.2933,0.92178,2.5802,3.5199,3.3787,3.1917,3.45,1.9,3.71,3.57,2.4,3.62,2.02,1.27,4.01,5.84,1.6,7.97,12.63,3.11,18.41,13.92,2.12,16.73,12.56,2.09,11.74,-0.037097,0.0048799,0.59938,0.031306,-0.17007
1.2447,1.221,0.73754,2.3064,3.408,3.4396,3.5748,2.6,1.61,2.96,3.22,1.65,2.9,1.79,1.19,3.31,4.35,1.93,8.57,11.17,2.19,11.6,12.17,1.83,10.9,9.54,3.2,12.3,-0.0505,0.0067941,0.50691,0.04794,-0.1798
1.2951,1.2225,0.68978,2.2039,3.683,3.8479,4.2989,4.15,2.73,3.9,4.59,1.63,3.9,2.51,1.38,1.86,5.2,2.68,10.63,13.4,3.68,14.03,14.79,2.86,15.41,12.22,6.23,16.68,-0.092227,-0.0053411,0.73086,0.093558,-0.24774
1.5629,1.2408,1.4091,2.6877,4.0655,3.4784,3.2069,4.25,2.6,4.18,3.94,2.79,4.95,2.16,2.06,6.7,6.62,3.1,8.22,16.13,3.33,20.06,15.66,4.14,11.63,14.72,3.14,12.11,0.1224,-0.020665,0.13213,0.17243,-0.15964
1.237,1.1924,0.89602,2.1503,3.5264,3.4517,3.4029,3.85,2.15,3.48,3.9,2.32,3.31,3,1.83,3.86,5.06,1.78,8.18,19.41,4.33,14.48,18.62,2.89,11.07,15.73,3.19,12.46,-0.082781,-0.0093452,0.89274,0.048035,-0.18448
1.2596,1.2263,0.73407,2.11,4.0061,4.0624,4.0823,3.63,1.35,3.73,5.46,1.69,3.2,2.44,0.97,2.72,6.84,2.09,9.45,18.21,6.93,15.93,19.86,4.18,13.19,15.93,4.76,12.32,-0.030016,-0.0042044,0.88796,0.071386,-0.17711
1.0716,1.0313,0.66658,1.7687,3.8319,3.5636,3.2639,3.65,2.62,3.04,3.9,2.35,3.66,2.27,1.75,4.06,5.08,1.73,9.77,14.75,3.7,17.42,15.23,2.3,17.13,11.12,3.26,13.28,-0.022225,0.016596,0.56048,0.049304,-0.19654
1.5971,1.5293,0.92049,2.1041,3.6644,3.7151,3.1713,6.33,4.64,5.93,7.01,4.22,6.08,3.67,1.39,3.79,5.82,2.33,12.69,13.75,4.62,13.8,13.79,4.75,12.27,10.93,6.52,15.88,-0.048946,-0.0035378,-1.6611,0.1644,-0.15432
1.6383,1.4696,0.94337,2.5208,2.5479,2.6142,2.312,3.4,3.84,5.61,3.24,3.1,5.92,3.1,1.63,4.65,5.14,2.65,11.97,11.6,2.1,12.99,11.45,3.11,14.33,10.61,3.77,14.41,-0.022224,0.0060148,-1.2799,0.094297,-0.14059
1.7594,1.5112,1.2025,2.6145,3.6282,3.5963,3.1363,4.82,3.5,5.4,4.57,2.68,6.18,3.08,1.94,5.42,5.24,2.31,11.7,14.06,3.51,14.76,16.19,3.62,13.29,12.58,4.71,14.23,0.11614,0.010328,-2.5312,0.11873,-0.13994
1.3744,1.2561,0.84446,1.996,2.8678,2.7714,2.4221,3.93,2.52,3.83,3.6,3.54,4.63,2.44,1.34,3.49,5,5.87,10.09,15.59,3.49,12.36,16.37,4.14,10.89,13.12,5.11,12.56,0.02053,0.017556,-1.4875,0.12769,-0.12296
1.6988,1.4686,1.1805,2.4509,4.2867,4.1363,3.4416,5.27,4.19,4.66,5.43,3.58,5.08,3.52,2.13,5.59,4.87,2.84,11.49,15.96,4.14,13.99,17.16,4.9,10.71,13.05,4.41,11.04,0.014059,-0.0016505,-1.2946,0.10743,-0.10799
1.401,1.2088,0.87747,1.9372,3.2537,2.6624,2.2053,3.49,2.51,3.96,3.79,2.75,4.06,2.02,1.75,4.07,3.05,2.35,7.6,13.88,2.72,10.38,15.12,3,11.93,10.88,3.74,13.78,0.06531,0.017383,-1.1556,0.091869,-0.13706
1.6011,1.3111,1.0221,2.1704,3.5287,3.5692,2.7363,6.59,4.05,5.27,4.6,2.54,4.53,2.35,2.29,4.92,4.14,4.26,10.16,15.09,4.2,14.98,16.23,4.9,10.87,10.56,5.34,10.62,0.073238,0.016903,-1.0549,0.1293,-0.1041
1.4154,1.1244,1.0433,2.2162,3.1483,3.3178,3.265,3.45,2.27,4.71,3.57,2.27,3.49,1.66,2.23,6.01,6.66,2.38,12.03,13.16,3.24,12.85,15.64,3.26,9.08,13.65,6.12,11.77,0.10901,0.020168,0.12566,0.32886,-0.1584
1.5904,1.3198,0.98829,2.8161,3.9338,3.6148,3.3882,3.82,2.46,4.56,3.12,2.21,3.24,2.92,1.16,5.27,5.63,3.56,12.75,20.21,4.29,16.51,21.75,7.37,14.47,16,9.61,15.48,0.04209,0.0058591,-2.1534,0.23941,-0.15259
1.3652,1.196,0.98617,1.9254,3.2565,3.3757,2.7063,3.66,2.76,3.77,3.52,2.48,3.81,2.34,1.84,4.16,4.25,2.79,7.07,18.25,4.66,17.29,20.61,4.51,12.88,14.79,4.01,8.91,0.048176,0.014233,-1.9879,0.09943,-0.08555
1.3259,1.165,0.77447,1.9048,3.4089,3.2221,2.6436,3.17,2.43,2.45,3.25,2.84,2.5,2.33,1.02,2.96,2.96,2.66,8.22,19.35,4.29,16.5,21.02,5.19,11.13,15.01,4.04,11.7,0.027089,0.0026013,-1.2984,0.10015,-0.11342
1.7259,1.406,1.3155,3.4149,3.9181,3.8979,3.027,4.73,2.06,5.07,3.91,2.84,3.82,2.78,1.68,5.99,6.04,4.26,12.75,15.95,3.74,15.64,17.44,5.67,14.94,12.77,4.65,14.31,0.074312,0.017376,-1.6693,0.11501,-0.13685
1.6363,1.4006,1.0772,2.644,3.7572,3.5146,2.9848,4.19,3.36,3.68,4.73,2.75,3.86,2.94,1.85,5.38,5.28,4.49,10.36,14.73,3.58,11.63,17.36,4.62,10.55,9.79,4.16,10.27,0.053579,0.019133,-0.82896,0.10234,-0.098301
1.42,1.2801,1.069,2.1856,3.5785,3.3474,2.9027,5.46,2.78,4.09,6.07,2.88,3.27,2.47,1.07,4.48,6.7,2.27,12.79,13.49,2.87,15.17,14.4,5.61,12.32,13.9,3.93,12.92,0.10091,0.0056265,-1.5995,0.097422,-0.12742
1.7636,1.5568,1.2048,2.9499,4.1409,4.1098,3.0348,4.93,2.83,4.56,4.41,2.8,5.04,2.71,1.63,4.78,5.08,3.35,11.17,15.23,3.41,15.87,16.89,5.16,12.62,12.28,5.62,10.68,-0.037847,0.0041427,-1.9919,0.13651,-0.10373
1.6294,1.4012,1.0524,2.7538,4.4253,4.5417,3.5371,5.17,2.67,4.17,5.08,2.52,3.72,2.86,2.04,4.03,6.86,3.82,14.47,21.76,4.93,17.18,24.24,5.95,14.55,18.36,5.47,11.65,0.0082704,0.011365,-1.9085,0.13241,-0.11349
1.5571,1.3462,0.89631,2.2827,3.8572,3.4062,2.6961,4.23,2.01,5.38,4.31,2.21,5.72,2.3,0.99,3.42,5.57,2.5,10.06,14.08,3.75,16.86,14.9,3.76,17.93,10.46,3.15,13.43,0.020841,0.0051464,-1.7942,0.076998,-0.1305
1.6593,1.4906,1.0972,2.7809,6.0317,5.835,6.1112,7.29,5.33,8.16,7.01,2.18,4.73,5.18,3.63,5.88,8.23,5.83,11.85,25.04,4.97,18.08,22.45,4.78,18.11,22.2,5.12,19.25,-0.047239,-0.0072563,-0.64134,0.27721,-0.26029
1.4831,1.1772,0.94353,2.0741,3.5632,3.2763,3.0405,4.75,3.25,4.67,5.14,2.51,3.28,2.02,1.72,3.59,7.87,2.35,12.45,15.27,3.43,14.48,16.19,5.62,10.56,16.1,4.71,9.84,0.085016,-0.0048913,0.14859,0.2496,-0.1341
1.7108,1.4831,1.1856,2.9553,4.4392,4.1068,4.1987,6.13,5.65,6.27,4.83,2.47,4.89,4.29,3.41,6.23,7.87,3.73,14.79,19.58,4.86,16.87,18.43,5.59,13.7,19.23,7.21,16,-0.20223,-0.010576,-0.57292,0.37749,-0.20977
1.5836,1.3851,1.0171,2.7255,4.0326,3.866,4.2221,5.56,4.19,4.44,5.54,3.67,4.13,4.75,2.22,4.47,10.94,4.31,11.65,24.92,4.76,17.19,23.88,5.57,16.5,24.96,7.64,20.42,-0.097354,-0.0053752,-0.82649,0.41477,-0.26693
1.5398,1.5454,0.9915,2.61,5.071,4.8161,4.952,5.94,4.01,4.22,7.42,2.61,3.82,4.38,2.31,4.7,10.7,6.81,13.11,30.65,3.97,17.59,27.75,5.89,17.51,26.49,7.33,19.57,-0.13905,0.0040586,-0.79717,0.3924,-0.25689
1.3216,1.2512,0.97882,1.9912,4.0706,3.9131,4.2655,7.49,3.02,5.07,6.58,4.02,5.71,5.18,2.32,6.19,7.08,4.3,12.52,25.32,4.32,17.08,21.43,3.72,16.95,22.35,6.02,16.54,0.12046,-0.027607,-0.57573,0.31601,-0.21766
1.4313,1.3946,1.1317,2.482,4.7661,4.1569,4.2907,6.38,3.93,5.98,7.95,3.52,5.65,5.3,3.87,4.52,7.86,7.9,17.35,26.22,4.11,20.79,22.19,4.12,19.89,22.68,5.5,21.75,1.434,-0.025582,-0.71265,0.29333,-0.2993
1.7344,1.6173,1.407,2.6835,4.7539,4.6405,4.8458,6.97,5.56,5.57,7.04,3.98,4.38,4.49,3.54,5.94,8.02,10.92,15.35,18.84,4.13,17.95,16.02,4.55,15.23,16.39,5.61,15.95,0.14998,-0.038357,-0.45872,0.29809,-0.2158
1.8341,1.6482,1.2067,3.6751,5.4503,5.1944,5.431,6.14,5.76,6.42,5.89,3.56,6.5,3.68,5.65,6.45,9.75,7.45,15.36,35.3,6.08,22.82,31.16,7.65,20.94,32.43,11.45,22.08,-1.2313,-0.015859,-1.0014,0.62161,-0.30671
1.7352,1.6214,1.0547,2.9169,4.8359,4.3889,4.6926,7.29,5.98,5.55,9.28,4.34,3.8,5.42,3.16,3.75,8.68,4.99,15.83,26.84,7.8,17.56,22.32,7.65,15.95,22.89,9.04,14.58,0.50145,-0.014914,-0.67225,0.46359,-0.19184
1.7118,1.5181,0.9658,2.8273,5.1905,4.9768,5.266,5.95,4.92,4.91,6.24,4.09,3.84,5.06,2.55,4.32,6.17,5.72,12.34,21.16,3.32,15.97,20.2,4.41,16.43,21.18,5.62,17.75,0.13755,-0.024277,-0.66688,0.30134,-0.23996
1.4484,1.2939,1.2292,2.4386,3.736,3.4175,3.5615,6.03,5.02,3.02,5.11,3.3,3.12,4.74,3.72,5.85,8.57,5.08,9.96,18.4,4.53,16.65,17.26,5.33,18.1,17.48,5.9,18.48,-0.29413,0.01494,-0.56098,0.32153,-0.24561
1.5656,1.3531,1.274,2.4826,3.6549,3.4957,3.2378,4.9,2.95,4.19,4.85,2.68,3.95,2.61,3.46,5.93,7.4,3.56,10.02,17.06,5.35,22.25,15.92,3.26,11.83,15.79,4.04,11.99,0.075524,-0.0035722,0.14716,0.22222,-0.16409
1.7532,1.5252,1.1349,3.1513,3.3605,3.1334,3.2908,6.76,6.39,5.75,6.82,2.82,4.46,5.55,3.42,5.93,9.4,4.38,18.63,21.11,2.96,15.35,17.95,3.01,16.26,17.75,3.43,16.69,0.16077,-0.026338,-0.55503,0.18982,-0.22667
1.5503,1.5351,1.145,2.5026,4.0504,3.8009,4.0592,8.12,4.92,6.63,11.26,3.62,5.3,7.08,2.75,4.59,9.73,5.78,16.06,19.07,4.33,16.55,16.62,4.94,14.58,16.55,6.72,15.27,0.14098,-0.021304,-0.48907,0.35443,-0.20408
1.6634,1.4318,1.3233,2.6223,4.1219,3.8691,4.0346,8.32,8.09,7.95,7.78,3.32,4.35,6.54,4.33,6.26,8.52,8.09,13.9,29.17,5.88,17.18,25.6,4.92,15.92,26.2,5.26,20.27,0.001059,-0.032161,-0.80665,0.27099,-0.26975
1.6502,1.609,1.1059,2.886,5.8796,5.6125,5.884,7.6,5,6.64,7.63,3.43,6.43,5,2.96,4.22,10.76,6.71,16.04,33.39,6.66,19.64,29.42,6.97,18.94,29.94,8.61,20.08,-0.061122,-0.024421,-0.85396,0.44611,-0.26845
1.4338,1.4247,0.99138,2.5091,3.9209,3.6457,3.939,4.51,5.16,4.66,6.73,3.09,5.1,4.67,3.6,4.05,7.03,5.73,13.17,22.14,6.13,18.06,20.24,4.85,15.68,21.32,4.75,17.12,0.10151,-0.0064721,-0.75018,0.24961,-0.23008
1.4685,1.5722,1.1669,2.0037,3.0585,2.7804,2.9237,5.22,2,4.88,5.49,1.51,4.17,2.16,0.87,2.1,9.95,3.18,11.34,23.44,3.51,11.23,22.97,3.2,13.33,22.61,6.44,16.1,0.14914,-0.033375,0.52097,-0.16267,-0.10773
