1.3902,1.1592,1.0715,1.8869,4.693,3.9954,4.1404
1.7022,1.2766,1.0056,2.5032,5.1465,4.5277,4.614
1.0816,0.99297,0.66272,1.7673,3.4202,3.3604,3.2288
1.011,0.92131,0.76653,1.7044,4.0102,3.7855,3.8149
1.0128,0.94384,0.54604,1.5476,3.76,3.3498,2.886
1.0802,1.0405,0.6299,1.7762,3.8078,3.6517,3.4742
1.1115,1.0329,0.65388,1.8284,3.0722,2.8835,2.7268
1.1434,1.1167,0.64147,1.8777,3.4803,3.5015,3.4931
1.3825,1.3708,0.67174,2.3237,4.6537,4.5303,4.4081
1.3789,1.2933,0.92178,2.5802,3.5199,3.3787,3.1917
1.2447,1.221,0.73754,2.3064,3.408,3.4396,3.5748
1.2951,1.2225,0.68978,2.2039,3.683,3.8479,4.2989
1.5629,1.2408,1.4091,2.6877,4.0655,3.4784,3.2069
1.237,1.1924,0.89602,2.1503,3.5264,3.4517,3.4029
1.2596,1.2263,0.73407,2.11,4.0061,4.0624,4.0823
1.0716,1.0313,0.66658,1.7687,3.8319,3.5636,3.2639
1.5971,1.5293,0.92049,2.1041,3.6644,3.7151,3.1713
1.6383,1.4696,0.94337,2.5208,2.5479,2.6142,2.312
1.7594,1.5112,1.2025,2.6145,3.6282,3.5963,3.1363
1.3744,1.2561,0.84446,1.996,2.8678,2.7714,2.4221
1.6988,1.4686,1.1805,2.4509,4.2867,4.1363,3.4416
1.401,1.2088,0.87747,1.9372,3.2537,2.6624,2.2053
1.6011,1.3111,1.0221,2.1704,3.5287,3.5692,2.7363
1.4154,1.1244,1.0433,2.2162,3.1483,3.3178,3.265
1.5904,1.3198,0.98829,2.8161,3.9338,3.6148,3.3882
1.3652,1.196,0.98617,1.9254,3.2565,3.3757,2.7063
1.3259,1.165,0.77447,1.9048,3.4089,3.2221,2.6436
1.7259,1.406,1.3155,3.4149,3.9181,3.8979,3.027
1.6363,1.4006,1.0772,2.644,3.7572,3.5146,2.9848
1.42,1.2801,1.069,2.1856,3.5785,3.3474,2.9027
1.7636,1.5568,1.2048,2.9499,4.1409,4.1098,3.0348
1.6294,1.4012,1.0524,2.7538,4.4253,4.5417,3.5371
1.5571,1.3462,0.89631,2.2827,3.8572,3.4062,2.6961
1.6593,1.4906,1.0972,2.7809,6.0317,5.835,6.1112
1.4831,1.1772,0.94353,2.0741,3.5632,3.2763,3.0405
1.7108,1.4831,1.1856,2.9553,4.4392,4.1068,4.1987
1.5836,1.3851,1.0171,2.7255,4.0326,3.866,4.2221
1.5398,1.5454,0.9915,2.61,5.071,4.8161,4.952
1.3216,1.2512,0.97882,1.9912,4.0706,3.9131,4.2655
