5.84,2.83,4.95,5.87,2.25,3.66,2.14,1.84,5.41,6.73,2.82,9.8,20.23,8.15,19.95,16.87,3.8,14.62,16.6,6.2,18.47
4.84,2.2,5.17,4.67,2.13,2.9,1.99,1.57,4.69,7.78,2.3,10.38,20.9,3.09,21.12,18.76,3.51,10.21,17.11,3.54,11.9
2.97,1.87,2.74,2.54,1.8,2.9,2.18,0.94,2.05,5.01,2.99,7.6,11.5,4.24,14.88,12.02,2.12,14.1,10.48,3.98,10.5
2.59,1.02,2.34,2.64,1.79,2.2,1.7,0.76,3.63,4.37,1.69,7.94,14.04,3.89,17.46,15.02,2.53,12.49,13.73,2.93,10.61
2.91,1.12,3.14,3.23,2.41,3.94,1.74,0.58,1.47,3.64,1.61,8.37,21.57,3.64,11.38,19.28,3.93,10.95,17.27,4.28,10.76
2.64,1.61,2.91,3.59,2.76,4.86,1.16,1.15,3.58,6.08,2.41,8.71,14.87,4.24,16.53,14.45,2.86,13.86,12.22,4.07,12.21
2.67,1.72,2.53,3.39,1.62,2.89,1.66,0.95,3.53,5.56,1.94,8.64,15.25,3.72,16.63,15.61,2.31,11.99,14.92,2.95,10.6
3.12,1.47,3.08,3.77,1.79,2.86,2.52,1.07,2.21,4.72,1.66,7.65,12.81,3.79,17.08,14.39,1.93,15.8,12.39,3.52,10.83
4.41,1.95,4.03,4.18,2.86,4.19,3.63,0.97,2.16,5.16,2.41,11,16.58,3.48,17.14,17.38,1.96,15.36,14.45,3.75,13.5
3.45,1.9,3.71,3.57,2.4,3.62,2.02,1.27,4.01,5.84,1.6,7.97,12.63,3.11,18.41,13.92,2.12,16.73,12.56,2.09,11.74
2.6,1.61,2.96,3.22,1.65,2.9,1.79,1.19,3.31,4.35,1.93,8.57,11.17,2.19,11.6,12.17,1.83,10.9,9.54,3.2,12.3
4.15,2.73,3.9,4.59,1.63,3.9,2.51,1.38,1.86,5.2,2.68,10.63,13.4,3.68,14.03,14.79,2.86,15.41,12.22,6.23,16.68
4.25,2.6,4.18,3.94,2.79,4.95,2.16,2.06,6.7,6.62,3.1,8.22,16.13,3.33,20.06,15.66,4.14,11.63,14.72,3.14,12.11
3.85,2.15,3.48,3.9,2.32,3.31,3,1.83,3.86,5.06,1.78,8.18,19.41,4.33,14.48,18.62,2.89,11.07,15.73,3.19,12.46
3.63,1.35,3.73,5.46,1.69,3.2,2.44,0.97,2.72,6.84,2.09,9.45,18.21,6.93,15.93,19.86,4.18,13.19,15.93,4.76,12.32
3.65,2.62,3.04,3.9,2.35,3.66,2.27,1.75,4.06,5.08,1.73,9.77,14.75,3.7,17.42,15.23,2.3,17.13,11.12,3.26,13.28
6.33,4.64,5.93,7.01,4.22,6.08,3.67,1.39,3.79,5.82,2.33,12.69,13.75,4.62,13.8,13.79,4.75,12.27,10.93,6.52,15.88
3.4,3.84,5.61,3.24,3.1,5.92,3.1,1.63,4.65,5.14,2.65,11.97,11.6,2.1,12.99,11.45,3.11,14.33,10.61,3.77,14.41
4.82,3.5,5.4,4.57,2.68,6.18,3.08,1.94,5.42,5.24,2.31,11.7,14.06,3.51,14.76,16.19,3.62,13.29,12.58,4.71,14.23
3.93,2.52,3.83,3.6,3.54,4.63,2.44,1.34,3.49,5,5.87,10.09,15.59,3.49,12.36,16.37,4.14,10.89,13.12,5.11,12.56
5.27,4.19,4.66,5.43,3.58,5.08,3.52,2.13,5.59,4.87,2.84,11.49,15.96,4.14,13.99,17.16,4.9,10.71,13.05,4.41,11.04
3.49,2.51,3.96,3.79,2.75,4.06,2.02,1.75,4.07,3.05,2.35,7.6,13.88,2.72,10.38,15.12,3,11.93,10.88,3.74,13.78
6.59,4.05,5.27,4.6,2.54,4.53,2.35,2.29,4.92,4.14,4.26,10.16,15.09,4.2,14.98,16.23,4.9,10.87,10.56,5.34,10.62
3.45,2.27,4.71,3.57,2.27,3.49,1.66,2.23,6.01,6.66,2.38,12.03,13.16,3.24,12.85,15.64,3.26,9.08,13.65,6.12,11.77
3.82,2.46,4.56,3.12,2.21,3.24,2.92,1.16,5.27,5.63,3.56,12.75,20.21,4.29,16.51,21.75,7.37,14.47,16,9.61,15.48
3.66,2.76,3.77,3.52,2.48,3.81,2.34,1.84,4.16,4.25,2.79,7.07,18.25,4.66,17.29,20.61,4.51,12.88,14.79,4.01,8.91
3.17,2.43,2.45,3.25,2.84,2.5,2.33,1.02,2.96,2.96,2.66,8.22,19.35,4.29,16.5,21.02,5.19,11.13,15.01,4.04,11.7
4.73,2.06,5.07,3.91,2.84,3.82,2.78,1.68,5.99,6.04,4.26,12.75,15.95,3.74,15.64,17.44,5.67,14.94,12.77,4.65,14.31
4.19,3.36,3.68,4.73,2.75,3.86,2.94,1.85,5.38,5.28,4.49,10.36,14.73,3.58,11.63,17.36,4.62,10.55,9.79,4.16,10.27
5.46,2.78,4.09,6.07,2.88,3.27,2.47,1.07,4.48,6.7,2.27,12.79,13.49,2.87,15.17,14.4,5.61,12.32,13.9,3.93,12.92
4.93,2.83,4.56,4.41,2.8,5.04,2.71,1.63,4.78,5.08,3.35,11.17,15.23,3.41,15.87,16.89,5.16,12.62,12.28,5.62,10.68
5.17,2.67,4.17,5.08,2.52,3.72,2.86,2.04,4.03,6.86,3.82,14.47,21.76,4.93,17.18,24.24,5.95,14.55,18.36,5.47,11.65
4.23,2.01,5.38,4.31,2.21,5.72,2.3,0.99,3.42,5.57,2.5,10.06,14.08,3.75,16.86,14.9,3.76,17.93,10.46,3.15,13.43
7.29,5.33,8.16,7.01,2.18,4.73,5.18,3.63,5.88,8.23,5.83,11.85,25.04,4.97,18.08,22.45,4.78,18.11,22.2,5.12,19.25
4.75,3.25,4.67,5.14,2.51,3.28,2.02,1.72,3.59,7.87,2.35,12.45,15.27,3.43,14.48,16.19,5.62,10.56,16.1,4.71,9.84
6.13,5.65,6.27,4.83,2.47,4.89,4.29,3.41,6.23,7.87,3.73,14.79,19.58,4.86,16.87,18.43,5.59,13.7,19.23,7.21,16
5.56,4.19,4.44,5.54,3.67,4.13,4.75,2.22,4.47,10.94,4.31,11.65,24.92,4.76,17.19,23.88,5.57,16.5,24.96,7.64,20.42
5.94,4.01,4.22,7.42,2.61,3.82,4.38,2.31,4.7,10.7,6.81,13.11,30.65,3.97,17.59,27.75,5.89,17.51,26.49,7.33,19.57
7.49,3.02,5.07,6.58,4.02,5.71,5.18,2.32,6.19,7.08,4.3,12.52,25.32,4.32,17.08,21.43,3.72,16.95,22.35,6.02,16.54
6.38,3.93,5.98,7.95,3.52,5.65,5.3,3.87,4.52,7.86,7.9,17.35,26.22,4.11,20.79,22.19,4.12,19.89,22.68,5.5,21.75
6.97,5.56,5.57,7.04,3.98,4.38,4.49,3.54,5.94,8.02,10.92,15.35,18.84,4.13,17.95,16.02,4.55,15.23,16.39,5.61,15.95
6.14,5.76,6.42,5.89,3.56,6.5,3.68,5.65,6.45,9.75,7.45,15.36,35.3,6.08,22.82,31.16,7.65,20.94,32.43,11.45,22.08
7.29,5.98,5.55,9.28,4.34,3.8,5.42,3.16,3.75,8.68,4.99,15.83,26.84,7.8,17.56,22.32,7.65,15.95,22.89,9.04,14.58
5.95,4.92,4.91,6.24,4.09,3.84,5.06,2.55,4.32,6.17,5.72,12.34,21.16,3.32,15.97,20.2,4.41,16.43,21.18,5.62,17.75
6.03,5.02,3.02,5.11,3.3,3.12,4.74,3.72,5.85,8.57,5.08,9.96,18.4,4.53,16.65,17.26,5.33,18.1,17.48,5.9,18.48
4.9,2.95,4.19,4.85,2.68,3.95,2.61,3.46,5.93,7.4,3.56,10.02,17.06,5.35,22.25,15.92,3.26,11.83,15.79,4.04,11.99
6.76,6.39,5.75,6.82,2.82,4.46,5.55,3.42,5.93,9.4,4.38,18.63,21.11,2.96,15.35,17.95,3.01,16.26,17.75,3.43,16.69
8.12,4.92,6.63,11.26,3.62,5.3,7.08,2.75,4.59,9.73,5.78,16.06,19.07,4.33,16.55,16.62,4.94,14.58,16.55,6.72,15.27
8.32,8.09,7.95,7.78,3.32,4.35,6.54,4.33,6.26,8.52,8.09,13.9,29.17,5.88,17.18,25.6,4.92,15.92,26.2,5.26,20.27
7.6,5,6.64,7.63,3.43,6.43,5,2.96,4.22,10.76,6.71,16.04,33.39,6.66,19.64,29.42,6.97,18.94,29.94,8.61,20.08
4.51,5.16,4.66,6.73,3.09,5.1,4.67,3.6,4.05,7.03,5.73,13.17,22.14,6.13,18.06,20.24,4.85,15.68,21.32,4.75,17.12
5.22,2,4.88,5.49,1.51,4.17,2.16,0.87,2.1,9.95,3.18,11.34,23.44,3.51,11.23,22.97,3.2,13.33,22.61,6.44,16.1
1.8,1.44,2.23,2.41,1.15,1.64,1.43,0.6,1.51,2.48,1.32,5.92,14.42,1.72,7.22,10.59,1.84,9.59,11.82,3.01,9.47
3.15,1.11,2.76,3.12,1.36,2.26,2.28,0.53,2.16,3.77,1.06,6.16,13.76,2.22,9.16,14.65,3.87,11.13,13.71,4.08,9.73
2.48,1.53,2.42,2.54,1.83,1.94,1.77,0.48,1.59,3.18,1.18,5.73,14.11,2.09,7.12,12.64,3.97,8.17,11.19,5.05,8.96
2.3,1.12,2.03,2.17,1.4,1.79,2.24,0.59,1.76,3.13,1.09,4.48,13.1,1.74,7.73,11.85,3.03,7.61,11.07,3.33,8.12
4.88,2.79,4.64,6.03,2.39,3.52,1.83,2.26,6,8.48,3.06,11.13,18.35,4.11,18.89,14.93,4.84,11.73,17.5,3.99,11.91
2.36,1.2,1.94,2.3,1.08,1.65,1.38,0.64,0.93,2.37,1.11,3.85,15.58,1.73,6.04,12.94,2.43,8.03,10.31,2.34,7.11
2.48,1.76,2.31,2.79,1.92,2.11,2.16,0.8,2.1,3,1.52,4.85,10.39,2.39,6.36,10.89,2.95,6.92,10.59,5.13,7.07
1.76,0.79,1.58,1.84,1.09,1.37,1.43,0.46,1.36,1.93,0.95,3.59,13.2,1.77,7.24,10.58,2.86,9.95,9.41,3.92,7.41
